"Q1. What do you think the current population of [country] is?  By ‘population’, we mean all residents of [country] regardless of legal status or citizenship. Please give your answer to the nearest 1 million. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q5. What percentage of [country’s] total annual Gross Domestic Product (that is, the total value of all economic activity in [country]) do you think is spent on health expenditure each year? This includes public and private health expenditure. It covers the provision of health services (preventive and curative), family planning activities, nutrition activities and emergency aid for health, but does not include provision of water and sanitation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Argentina,Australia,Belgium,Brazil,Canada,Chile,China,Colombia,Czech Republic,Denmark,France,Germany,United Kingdom,Hong Kong,Hungary,India,Indonesia,Israel,Italy,Japan,Malaysia,Mexico,Montenegro,Netherlands,Norway,Peru,Philippines,Poland,Russia,Serbia,Singapore,South Africa,South Korea,Spain,Sweden,Taiwan,Thailand,Turkey,United States,Vietnam
Mean,17,21,22,25,28,16,21,17,16,21,22,20,19,21,12,27,39,19,18,22,37,19,23,19,20,17,24,10,11,20,21,25,17,17,20,22,30,23,31,16
Actual,5,10,11,8,10,8,6,7,7,11,12,11,9,5,7,5,3,8,9,10,4,6,6,11,10,6,5,6,7,10,5,9,7,9,11,7,7,5,18,7
Difference Mean - Actual,12,11,12,17,18,8,15,9,8,11,11,9,10,16,4,23,36,11,9,12,33,13,17,8,11,11,19,4,4,10,16,16,9,8,9,15,24,18,14,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q6. Out of every 100 households in [country], how many are owned by someone who lives there? By ‘owned’, we mean owning the home outright or buying it with the help of a mortgage or other loan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Argentina,Australia,Belgium,Brazil,Canada,Chile,China,Colombia,Czech Republic,Denmark,France,Germany,United Kingdom,Hong Kong,Hungary,India,Indonesia,Israel,Italy,Japan,Malaysia,Mexico,Montenegro,Netherlands,Norway,Peru,Philippines,Poland,Russia,Serbia,Singapore,South Africa,South Korea,Spain,Sweden,Taiwan,Thailand,Turkey,United States,Vietnam
Mean,41,44,50,42,50,46,60,38,51,51,44,28,47,46,64,44,,47,59,51,44,45,,45,60,45,41,51,60,59,68,39,44,56,38,50,51,45,47,62
Actual,72,65,63,68,68,64,90,39,56,50,58,45,64,50,91,87,,67,72,62,56,76,,56,77,70,55,70,85,88,91,55,54,79,60,84,70,60,63,91
Difference Mean - Actual,-31,-21,-13,-26,-17,-18,-30,-1,-5,1,-14,-17,-17,-5,-27,-42,,-20,-13,-10,-11,-31,,-10,-17,-25,-14,-20,-25,-28,-22,-16,-10,-23,-22,-35,-19,-15,-16,-29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q7. And what percentage of [country’s] total household wealth do you think the least wealthy 70% in [country] own? When thinking about wealth, we want you to think of the total value of everything someone owns (including their bank account, savings, property, stocks, shares… etc) minus any debt that they owe (like loans and mortgages).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Argentina,Australia,Belgium,Brazil,Canada,Chile,China,Colombia,Czech Republic,Denmark,France,Germany,United Kingdom,Hong Kong,Hungary,India,Indonesia,Israel,Italy,Japan,Malaysia,Mexico,Montenegro,Netherlands,Norway,Peru,Philippines,Poland,Russia,Serbia,Singapore,South Africa,South Korea,Spain,Sweden,Taiwan,Thailand,Turkey,United States,Vietnam
Mean,,24,26,24,25,31,34,28,27,21,26,27,19,,,39,,30,29,32,,31,,29,21,,,31,22,,37,29,26,29,20,39,33,,28,
Actual,,24,25,9,16,13,17,13,14,5,19,12,21,,,10,,14,22,24,,15,,18,15,,,15,5,,19,8,17,22,9,17,9,,7,
Difference Mean - Actual,,1,1,15,9,18,17,15,13,16,8,14,-1,,,28,,16,7,8,,16,,11,6,,,16,17,,18,22,9,7,11,21,24,,21,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q8. Thinking about the upcoming US Presidential election, do you think that Donald Trump or Hillary Clinton will be elected as president?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Argentina,Australia,Belgium,Brazil,Canada,Chile,China,Colombia,Czech Republic*,Denmark,France,Germany,United Kingdom,Hong Kong,Hungary,India,Indonesia,Israel,Italy,Japan,Malaysia,Mexico,Montenegro,Netherlands,Norway,Peru,Philippines,Poland,Russia,Serbia,Singapore,South Africa,South Korea,Spain,Sweden,Taiwan,Thailand,Turkey,United States,Vietnam
Donald Trump,14,17,10,11,17,10,32,13,21,14,14,14,16,13,26,25,14,33,16,8,13,6,35,11,11,16,17,26,50,42,14,24,5,11,18,10,19,26,26,16
Hillary Clinton,74,58,74,69,61,82,28,82,54,75,65,69,61,73,56,61,73,52,67,70,60,86,48,74,82,71,75,58,29,29,67,64,84,75,68,72,66,60,50,76
Don't know,12,25,16,20,21,8,39,5,25,11,20,17,22,14,18,14,13,15,17,22,27,8,17,15,8,13,8,16,21,29,18,12,12,15,14,17,15,15,23,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q10. When asked in a survey in [country], what percentage of people do you think said that, taking all things together, they are very happy or rather happy?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Argentina,Australia,Belgium,Brazil,Canada,Chile,China,Colombia,Czech Republic,Denmark,France,Germany,United Kingdom,Hong Kong,Hungary,India,Indonesia,Israel,Italy,Japan,Malaysia,Mexico,Montenegro,Netherlands,Norway,Peru,Philippines,Poland,Russia,Serbia,Singapore,South Africa,South Korea,Spain,Sweden,Taiwan,Thailand,Turkey,United States,Vietnam
Mean,41,53,,40,60,43,48,54,,,41,45,47,28,22,47,,,,42,44,43,46,57,60,40,58,42,41,34,47,38,24,41,49,,51,42,49,
Actual,86,82,,92,87,85,85,92,,,83,84,92,89,69,81,,,,87,96,94,85,84,88,76,89,93,73,77,93,76,90,86,95,,93,84,90,
Difference Mean - Actual,-45,-29,,-52,-27,-42,-36,-38,,,-42,-39,-45,-61,-47,-34,,,,-44,-52,-51,-38,-28,-28,-36,-31,-51,-32,-43,-46,-38,-66,-45,-46,,-42,-42,-41,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q12. When asked in a survey in [country], what percentage of people do you think said they personally believe that having an abortion is morally unacceptable? ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Argentina,Australia,Belgium,Brazil,Canada,Chile,China,Colombia,Czech Republic,Denmark,France,Germany,United Kingdom,Hong Kong,Hungary,India,Indonesia,Israel,Italy,Japan,Malaysia,Mexico,Montenegro,Netherlands,Norway,Peru,Philippines,Poland,Russia,Serbia,Singapore,South Africa,South Korea,Spain,Sweden,Taiwan,Thailand,Turkey,United States,Vietnam
Mean,55,40,31,61,39,46,38,,38,26,31,43,34,50,37,49,78,50,44,41,75,61,57,37,24,60,74,41,48,45,,56,44,40,,53,,62,48,
Actual,56,24,6,79,26,64,37,,18,4,14,19,25,33,15,58,89,35,41,28,79,63,44,8,10,51,93,47,44,32,,61,58,26,,32,,52,49,
Difference Mean - Actual,-1,17,25,-18,13,-18,1,,20,22,17,24,9,17,22,-9,-11,15,3,13,-4,-2,13,29,14,9,-19,-6,4,12,,-5,-14,14,,21,,10,-1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q14. When asked in a survey in [country], what percentage of people do you think said they personally believe that homosexuality is morally unacceptable? ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Argentina,Australia,Belgium,Brazil,Canada,Chile,China,Colombia,Czech Republic,Denmark,France,Germany,United Kingdom,Hong Kong,Hungary,India,Indonesia,Israel,Italy,Japan,Malaysia,Mexico,Montenegro,Netherlands,Norway,Peru,Philippines,Poland,Russia,Serbia,Singapore,South Africa,South Korea,Spain,Sweden,Taiwan,Thailand,Turkey,United States,Vietnam
Mean,41,36,29,51,33,43,65,,43,22,35,33,28,49,55,56,79,43,41,42,84,59,79,36,22,59,54,51,79,73,,51,50,34,,47,,76,42,
Actual,27,19,7,39,15,32,61,,14,5,14,8,17,32,30,67,93,43,19,31,88,40,63,5,5,44,65,44,72,49,,62,57,6,,22,,78,37,
Difference Mean - Actual,14,16,22,12,18,11,4,,29,17,21,25,11,17,25,-11,-14,0,22,11,-4,19,16,31,17,15,-11,7,7,24,,-11,-7,28,,25,,-2,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q16. When asked in a survey in [country], what percentage of people do you think said they personally believe that sex between unmarried adults is morally unacceptable? ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Argentina,Australia,Belgium,Brazil,Canada,Chile,China,Colombia,Czech Republic,Denmark,France,Germany,United Kingdom,Hong Kong,Hungary,India,Indonesia,Israel,Italy,Japan,Malaysia,Mexico,Montenegro,Netherlands,Norway,Peru,Philippines,Poland,Russia,Serbia,Singapore,South Africa,South Korea,Spain,Sweden,Taiwan,Thailand,Turkey,United States,Vietnam
Mean,22,26,28,43,25,26,40,,35,16,21,18,20,34,17,56,79,26,22,26,78,39,42,34,15,39,55,31,29,35,,39,38,22,,36,,72,33,
Actual,22,13,14,35,15,13,58,,10,2,6,6,13,23,7,67,97,37,11,21,87,44,25,5,6,28,71,22,30,13,,48,35,8,,23,,91,30,
Difference Mean - Actual,0,13,14,8,10,13,-18,,25,14,15,12,7,11,11,-11,-18,-11,11,5,-9,-5,16,29,9,11,-16,9,-1,22,,-9,3,14,,13,,-19,3,
